Listing of Grid Distortion Data

File : 210527_All\Complete_with_static_thermal\2020-09-01-E-SRO-MMS-IF-6M.ZMX
Title: E-MCD-SCA
Date : 18/06/2021
Configuration 1 of 2

Units are Millimeters.
Field units are degrees
Wavelength: 1.00000 µm
Reference Coordinates: Xref = -1.18239E-13, Yref = -5.77566E-02

   i	   j	   X-Field  	   Y-Field  	   R-Field  	  Predicted X	  Predicted Y	   Real X	        Real Y	        Distortion
  -4	   0	 -5.00000E-03	  0.00000E+00	  5.00000E-03	  5.97406E+01	 -7.59299E-10	  5.97375E+01	 -1.71493E-02	    -0.029164%
  -4	   1	 -5.00000E-03	  1.25000E-03	  5.15388E-03	  5.97406E+01	 -1.49246E+01	  5.97305E+01	 -1.49403E+01	    -0.030329%
  -4	   2	 -5.00000E-03	  2.50000E-03	  5.59017E-03	  5.97406E+01	 -2.98492E+01	  5.97231E+01	 -2.98620E+01	    -0.032528%
  -4	   3	 -5.00000E-03	  3.75000E-03	  6.25000E-03	  5.97406E+01	 -4.47738E+01	  5.97152E+01	 -4.47820E+01	    -0.035721%
  -4	   4	 -5.00000E-03	  5.00000E-03	  7.07107E-03	  5.97406E+01	 -5.96983E+01	  5.97069E+01	 -5.96998E+01	    -0.039907%
  -4	   5	 -5.00000E-03	  6.25000E-03	  8.00391E-03	  5.97406E+01	 -7.46229E+01	  5.96982E+01	 -7.46151E+01	    -0.045123%
  -4	   6	 -5.00000E-03	  7.50000E-03	  9.01388E-03	  5.97406E+01	 -8.95475E+01	  5.96890E+01	 -8.95275E+01	    -0.051391%
  -3	  -6	 -3.75000E-03	 -7.50000E-03	  8.38525E-03	  4.48055E+01	  8.95475E+01	  4.48291E+01	  8.95429E+01	     0.024024%
  -3	  -5	 -3.75000E-03	 -6.25000E-03	  7.28869E-03	  4.48055E+01	  7.46229E+01	  4.48257E+01	  7.46177E+01	     0.023992%
  -3	  -4	 -3.75000E-03	 -5.00000E-03	  6.25000E-03	  4.48055E+01	  5.96983E+01	  4.48220E+01	  5.96921E+01	     0.023711%
  -3	  -3	 -3.75000E-03	 -3.75000E-03	  5.30330E-03	  4.48055E+01	  4.47738E+01	  4.48180E+01	  4.47662E+01	     0.023172%
  -3	  -2	 -3.75000E-03	 -2.50000E-03	  4.50694E-03	  4.48055E+01	  2.98492E+01	  4.48137E+01	  2.98403E+01	     0.022441%
  -3	  -1	 -3.75000E-03	 -1.25000E-03	  3.95285E-03	  4.48055E+01	  1.49246E+01	  4.48091E+01	  1.49150E+01	     0.021771%
  -3	   0	 -3.75000E-03	  0.00000E+00	  3.75000E-03	  4.48055E+01	 -5.69475E-10	  4.48042E+01	 -9.64806E-03	    -0.021727%
  -3	   1	 -3.75000E-03	  1.25000E-03	  3.95285E-03	  4.48055E+01	 -1.49246E+01	  4.47989E+01	 -1.49332E+01	    -0.022856%
  -3	   2	 -3.75000E-03	  2.50000E-03	  4.50694E-03	  4.48055E+01	 -2.98492E+01	  4.47933E+01	 -2.98552E+01	    -0.025181%
  -3	   3	 -3.75000E-03	  3.75000E-03	  5.30330E-03	  4.48055E+01	 -4.47738E+01	  4.47874E+01	 -4.47755E+01	    -0.028580%
  -3	   4	 -3.75000E-03	  5.00000E-03	  6.25000E-03	  4.48055E+01	 -5.96983E+01	  4.47812E+01	 -5.96937E+01	    -0.033056%
  -3	   5	 -3.75000E-03	  6.25000E-03	  7.28869E-03	  4.48055E+01	 -7.46229E+01	  4.47747E+01	 -7.46094E+01	    -0.038635%
  -3	   6	 -3.75000E-03	  7.50000E-03	  8.38525E-03	  4.48055E+01	 -8.95475E+01	  4.47678E+01	 -8.95222E+01	    -0.045299%
  -2	  -6	 -2.50000E-03	 -7.50000E-03	  7.90569E-03	  2.98703E+01	  8.95475E+01	  2.98865E+01	  8.95497E+01	     0.017332%
  -2	  -5	 -2.50000E-03	 -6.25000E-03	  6.73146E-03	  2.98703E+01	  7.46229E+01	  2.98843E+01	  7.46244E+01	     0.017458%
  -2	  -4	 -2.50000E-03	 -5.00000E-03	  5.59017E-03	  2.98703E+01	  5.96983E+01	  2.98818E+01	  5.96984E+01	     0.017237%
  -2	  -3	 -2.50000E-03	 -3.75000E-03	  4.50694E-03	  2.98703E+01	  4.47738E+01	  2.98792E+01	  4.47723E+01	     0.016665%
  -2	  -2	 -2.50000E-03	 -2.50000E-03	  3.53553E-03	  2.98703E+01	  2.98492E+01	  2.98763E+01	  2.98462E+01	     0.015794%
  -2	  -1	 -2.50000E-03	 -1.25000E-03	  2.79509E-03	  2.98703E+01	  1.49246E+01	  2.98732E+01	  1.49206E+01	     0.014806%
  -2	   0	 -2.50000E-03	  0.00000E+00	  2.50000E-03	  2.98703E+01	 -3.79650E-10	  2.98699E+01	 -4.28854E-03	    -0.014415%
  -2	   1	 -2.50000E-03	  1.25000E-03	  2.79509E-03	  2.98703E+01	 -1.49246E+01	  2.98664E+01	 -1.49281E+01	    -0.015614%
  -2	   2	 -2.50000E-03	  2.50000E-03	  3.53553E-03	  2.98703E+01	 -2.98492E+01	  2.98627E+01	 -2.98504E+01	    -0.018225%
  -2	   3	 -2.50000E-03	  3.75000E-03	  4.50694E-03	  2.98703E+01	 -4.47738E+01	  2.98588E+01	 -4.47710E+01	    -0.022034%
  -2	   4	 -2.50000E-03	  5.00000E-03	  5.59017E-03	  2.98703E+01	 -5.96983E+01	  2.98546E+01	 -5.96894E+01	    -0.027035%
  -2	   5	 -2.50000E-03	  6.25000E-03	  6.73146E-03	  2.98703E+01	 -7.46229E+01	  2.98503E+01	 -7.46053E+01	    -0.033167%
  -2	   6	 -2.50000E-03	  7.50000E-03	  7.90569E-03	  2.98703E+01	 -8.95475E+01	  2.98457E+01	 -8.95185E+01	    -0.040348%
  -1	  -6	 -1.25000E-03	 -7.50000E-03	  7.60345E-03	  1.49352E+01	  8.95475E+01	  1.49434E+01	  8.95539E+01	     0.011462%
  -1	  -5	 -1.25000E-03	 -6.25000E-03	  6.37377E-03	  1.49352E+01	  7.46229E+01	  1.49423E+01	  7.46283E+01	     0.011748%
  -1	  -4	 -1.25000E-03	 -5.00000E-03	  5.15388E-03	  1.49352E+01	  5.96983E+01	  1.49410E+01	  5.97023E+01	     0.011497%
  -1	  -3	 -1.25000E-03	 -3.75000E-03	  3.95285E-03	  1.49352E+01	  4.47738E+01	  1.49397E+01	  4.47759E+01	     0.010729%
  -1	  -2	 -1.25000E-03	 -2.50000E-03	  2.79509E-03	  1.49352E+01	  2.98492E+01	  1.49383E+01	  2.98497E+01	     0.009538%
  -1	  -1	 -1.25000E-03	 -1.25000E-03	  1.76777E-03	  1.49352E+01	  1.49246E+01	  1.49367E+01	  1.49240E+01	     0.008126%
  -1	   0	 -1.25000E-03	  0.00000E+00	  1.25000E-03	  1.49352E+01	 -1.89825E-10	  1.49351E+01	 -1.07221E-03	    -0.007186%
  -1	   1	 -1.25000E-03	  1.25000E-03	  1.76777E-03	  1.49352E+01	 -1.49246E+01	  1.49334E+01	 -1.49250E+01	    -0.008738%
  -1	   2	 -1.25000E-03	  2.50000E-03	  2.79509E-03	  1.49352E+01	 -2.98492E+01	  1.49315E+01	 -2.98475E+01	    -0.012040%
  -1	   3	 -1.25000E-03	  3.75000E-03	  3.95285E-03	  1.49352E+01	 -4.47738E+01	  1.49295E+01	 -4.47682E+01	    -0.016721%
  -1	   4	 -1.25000E-03	  5.00000E-03	  5.15388E-03	  1.49352E+01	 -5.96983E+01	  1.49275E+01	 -5.96868E+01	    -0.022537%
  -1	   5	 -1.25000E-03	  6.25000E-03	  6.37377E-03	  1.49352E+01	 -7.46229E+01	  1.49253E+01	 -7.46029E+01	    -0.029330%
  -1	   6	 -1.25000E-03	  7.50000E-03	  7.60345E-03	  1.49352E+01	 -8.95475E+01	  1.49230E+01	 -8.95162E+01	    -0.037023%
   0	  -6	  0.00000E+00	 -7.50000E-03	  7.50000E-03	 -5.46779E-09	  8.95475E+01	  1.73137E-13	  8.95552E+01	     0.008622%
   0	  -5	  0.00000E+00	 -6.25000E-03	  6.25000E-03	 -4.55649E-09	  7.46229E+01	  1.64237E-13	  7.46297E+01	     0.009017%
   0	  -4	  0.00000E+00	 -5.00000E-03	  5.00000E-03	 -3.64519E-09	  5.96983E+01	 -1.29653E-12	  5.97035E+01	     0.008687%
   0	  -3	  0.00000E+00	 -3.75000E-03	  3.75000E-03	 -2.73390E-09	  4.47738E+01	  1.45988E-13	  4.47772E+01	     0.007627%
   0	  -2	  0.00000E+00	 -2.50000E-03	  2.50000E-03	 -1.82260E-09	  2.98492E+01	  2.84466E-13	  2.98509E+01	     0.005830%
   0	  -1	  0.00000E+00	 -1.25000E-03	  1.25000E-03	 -9.11299E-10	  1.49246E+01	 -2.25566E-12	  1.49251E+01	     0.003290%
   0	   0	  0.00000E+00	  0.00000E+00	  0.00000E+00	  0.00000E+00	  0.00000E+00	  0.00000E+00	  0.00000E+00	     0.000000%
   0	   1	  0.00000E+00	  1.25000E-03	  1.25000E-03	  9.11299E-10	 -1.49246E+01	 -2.54178E-12	 -1.49240E+01	    -0.004045%
   0	   2	  0.00000E+00	  2.50000E-03	  2.50000E-03	  1.82260E-09	 -2.98492E+01	  2.47487E-13	 -2.98465E+01	    -0.008853%
   0	   3	  0.00000E+00	  3.75000E-03	  3.75000E-03	  2.73390E-09	 -4.47738E+01	  2.08618E-13	 -4.47673E+01	    -0.014429%
   0	   4	  0.00000E+00	  5.00000E-03	  5.00000E-03	  3.64519E-09	 -5.96983E+01	 -1.52303E-12	 -5.96859E+01	    -0.020781%
   0	   5	  0.00000E+00	  6.25000E-03	  6.25000E-03	  4.55649E-09	 -7.46229E+01	  7.21402E-14	 -7.46021E+01	    -0.027914%
   0	   6	  0.00000E+00	  7.50000E-03	  7.50000E-03	  5.46779E-09	 -8.95475E+01	  1.80361E-13	 -8.95154E+01	    -0.035836%
   1	  -6	  1.25000E-03	 -7.50000E-03	  7.60345E-03	 -1.49352E+01	  8.95475E+01	 -1.49434E+01	  8.95539E+01	     0.011462%
   1	  -5	  1.25000E-03	 -6.25000E-03	  6.37377E-03	 -1.49352E+01	  7.46229E+01	 -1.49423E+01	  7.46283E+01	     0.011748%
   1	  -4	  1.25000E-03	 -5.00000E-03	  5.15388E-03	 -1.49352E+01	  5.96983E+01	 -1.49410E+01	  5.97023E+01	     0.011497%
   1	  -3	  1.25000E-03	 -3.75000E-03	  3.95285E-03	 -1.49352E+01	  4.47738E+01	 -1.49397E+01	  4.47759E+01	     0.010729%
   1	  -2	  1.25000E-03	 -2.50000E-03	  2.79509E-03	 -1.49352E+01	  2.98492E+01	 -1.49383E+01	  2.98497E+01	     0.009538%
   1	  -1	  1.25000E-03	 -1.25000E-03	  1.76777E-03	 -1.49352E+01	  1.49246E+01	 -1.49367E+01	  1.49240E+01	     0.008126%
   1	   0	  1.25000E-03	  0.00000E+00	  1.25000E-03	 -1.49352E+01	  1.89825E-10	 -1.49351E+01	 -1.07221E-03	    -0.007186%
   1	   1	  1.25000E-03	  1.25000E-03	  1.76777E-03	 -1.49352E+01	 -1.49246E+01	 -1.49334E+01	 -1.49250E+01	    -0.008738%
   1	   2	  1.25000E-03	  2.50000E-03	  2.79509E-03	 -1.49352E+01	 -2.98492E+01	 -1.49315E+01	 -2.98475E+01	    -0.012040%
   1	   3	  1.25000E-03	  3.75000E-03	  3.95285E-03	 -1.49352E+01	 -4.47738E+01	 -1.49295E+01	 -4.47682E+01	    -0.016721%
   1	   4	  1.25000E-03	  5.00000E-03	  5.15388E-03	 -1.49352E+01	 -5.96983E+01	 -1.49275E+01	 -5.96868E+01	    -0.022537%
   1	   5	  1.25000E-03	  6.25000E-03	  6.37377E-03	 -1.49352E+01	 -7.46229E+01	 -1.49253E+01	 -7.46029E+01	    -0.029330%
   1	   6	  1.25000E-03	  7.50000E-03	  7.60345E-03	 -1.49352E+01	 -8.95475E+01	 -1.49230E+01	 -8.95162E+01	    -0.037023%
   2	  -6	  2.50000E-03	 -7.50000E-03	  7.90569E-03	 -2.98703E+01	  8.95475E+01	 -2.98865E+01	  8.95497E+01	     0.017332%
   2	  -5	  2.50000E-03	 -6.25000E-03	  6.73146E-03	 -2.98703E+01	  7.46229E+01	 -2.98843E+01	  7.46244E+01	     0.017458%
   2	  -4	  2.50000E-03	 -5.00000E-03	  5.59017E-03	 -2.98703E+01	  5.96983E+01	 -2.98818E+01	  5.96984E+01	     0.017237%
   2	  -3	  2.50000E-03	 -3.75000E-03	  4.50694E-03	 -2.98703E+01	  4.47738E+01	 -2.98792E+01	  4.47723E+01	     0.016665%
   2	  -2	  2.50000E-03	 -2.50000E-03	  3.53553E-03	 -2.98703E+01	  2.98492E+01	 -2.98763E+01	  2.98462E+01	     0.015794%
   2	  -1	  2.50000E-03	 -1.25000E-03	  2.79509E-03	 -2.98703E+01	  1.49246E+01	 -2.98732E+01	  1.49206E+01	     0.014806%
   2	   0	  2.50000E-03	  0.00000E+00	  2.50000E-03	 -2.98703E+01	  3.79650E-10	 -2.98699E+01	 -4.28854E-03	    -0.014415%
   2	   1	  2.50000E-03	  1.25000E-03	  2.79509E-03	 -2.98703E+01	 -1.49246E+01	 -2.98664E+01	 -1.49281E+01	    -0.015614%
   2	   2	  2.50000E-03	  2.50000E-03	  3.53553E-03	 -2.98703E+01	 -2.98492E+01	 -2.98627E+01	 -2.98504E+01	    -0.018225%
   2	   3	  2.50000E-03	  3.75000E-03	  4.50694E-03	 -2.98703E+01	 -4.47738E+01	 -2.98588E+01	 -4.47710E+01	    -0.022034%
   2	   4	  2.50000E-03	  5.00000E-03	  5.59017E-03	 -2.98703E+01	 -5.96983E+01	 -2.98546E+01	 -5.96894E+01	    -0.027035%
   2	   5	  2.50000E-03	  6.25000E-03	  6.73146E-03	 -2.98703E+01	 -7.46229E+01	 -2.98503E+01	 -7.46053E+01	    -0.033167%
   2	   6	  2.50000E-03	  7.50000E-03	  7.90569E-03	 -2.98703E+01	 -8.95475E+01	 -2.98457E+01	 -8.95185E+01	    -0.040348%
   3	  -6	  3.75000E-03	 -7.50000E-03	  8.38525E-03	 -4.48055E+01	  8.95475E+01	 -4.48291E+01	  8.95429E+01	     0.024024%
   3	  -5	  3.75000E-03	 -6.25000E-03	  7.28869E-03	 -4.48055E+01	  7.46229E+01	 -4.48257E+01	  7.46177E+01	     0.023992%
   3	  -4	  3.75000E-03	 -5.00000E-03	  6.25000E-03	 -4.48055E+01	  5.96983E+01	 -4.48220E+01	  5.96921E+01	     0.023711%
   3	  -3	  3.75000E-03	 -3.75000E-03	  5.30330E-03	 -4.48055E+01	  4.47738E+01	 -4.48180E+01	  4.47662E+01	     0.023172%
   3	  -2	  3.75000E-03	 -2.50000E-03	  4.50694E-03	 -4.48055E+01	  2.98492E+01	 -4.48137E+01	  2.98403E+01	     0.022441%
   3	  -1	  3.75000E-03	 -1.25000E-03	  3.95285E-03	 -4.48055E+01	  1.49246E+01	 -4.48091E+01	  1.49150E+01	     0.021771%
   3	   0	  3.75000E-03	  0.00000E+00	  3.75000E-03	 -4.48055E+01	  5.69475E-10	 -4.48042E+01	 -9.64806E-03	    -0.021727%
   3	   1	  3.75000E-03	  1.25000E-03	  3.95285E-03	 -4.48055E+01	 -1.49246E+01	 -4.47989E+01	 -1.49332E+01	    -0.022856%
   3	   2	  3.75000E-03	  2.50000E-03	  4.50694E-03	 -4.48055E+01	 -2.98492E+01	 -4.47933E+01	 -2.98552E+01	    -0.025181%
   3	   3	  3.75000E-03	  3.75000E-03	  5.30330E-03	 -4.48055E+01	 -4.47738E+01	 -4.47874E+01	 -4.47755E+01	    -0.028580%
   3	   4	  3.75000E-03	  5.00000E-03	  6.25000E-03	 -4.48055E+01	 -5.96983E+01	 -4.47812E+01	 -5.96937E+01	    -0.033056%
   3	   5	  3.75000E-03	  6.25000E-03	  7.28869E-03	 -4.48055E+01	 -7.46229E+01	 -4.47747E+01	 -7.46094E+01	    -0.038635%
   3	   6	  3.75000E-03	  7.50000E-03	  8.38525E-03	 -4.48055E+01	 -8.95475E+01	 -4.47678E+01	 -8.95222E+01	    -0.045299%
   4	  -6	  5.00000E-03	 -7.50000E-03	  9.01388E-03	 -5.97406E+01	  8.95475E+01	 -5.97708E+01	  8.95333E+01	     0.030978%
   4	  -5	  5.00000E-03	 -6.25000E-03	  8.00391E-03	 -5.97406E+01	  7.46229E+01	 -5.97663E+01	  7.46085E+01	     0.030795%
   4	  -4	  5.00000E-03	 -5.00000E-03	  7.07107E-03	 -5.97406E+01	  5.96983E+01	 -5.97613E+01	  5.96831E+01	     0.030438%
   4	  -3	  5.00000E-03	 -3.75000E-03	  6.25000E-03	 -5.97406E+01	  4.47738E+01	 -5.97560E+01	  4.47576E+01	     0.029916%
   4	  -2	  5.00000E-03	 -2.50000E-03	  5.59017E-03	 -5.97406E+01	  2.98492E+01	 -5.97503E+01	  2.98321E+01	     0.029333%
   4	  -1	  5.00000E-03	 -1.25000E-03	  5.15388E-03	 -5.97406E+01	  1.49246E+01	 -5.97441E+01	  1.49071E+01	    -0.028947%
   4	   0	  5.00000E-03	  0.00000E+00	  5.00000E-03	 -5.97406E+01	  7.59299E-10	 -5.97375E+01	 -1.71493E-02	    -0.029164%
   4	   1	  5.00000E-03	  1.25000E-03	  5.15388E-03	 -5.97406E+01	 -1.49246E+01	 -5.97305E+01	 -1.49403E+01	    -0.030329%
   4	   2	  5.00000E-03	  2.50000E-03	  5.59017E-03	 -5.97406E+01	 -2.98492E+01	 -5.97231E+01	 -2.98620E+01	    -0.032528%
   4	   3	  5.00000E-03	  3.75000E-03	  6.25000E-03	 -5.97406E+01	 -4.47738E+01	 -5.97152E+01	 -4.47820E+01	    -0.035721%
   4	   4	  5.00000E-03	  5.00000E-03	  7.07107E-03	 -5.97406E+01	 -5.96983E+01	 -5.97069E+01	 -5.96998E+01	    -0.039907%
   4	   5	  5.00000E-03	  6.25000E-03	  8.00391E-03	 -5.97406E+01	 -7.46229E+01	 -5.96982E+01	 -7.46151E+01	    -0.045123%
   4	   6	  5.00000E-03	  7.50000E-03	  9.01388E-03	 -5.97406E+01	 -8.95475E+01	 -5.96890E+01	 -8.95275E+01	    -0.051391%
   5	  -6	  6.25000E-03	 -7.50000E-03	  9.76281E-03	 -7.46758E+01	  8.95475E+01	 -7.47113E+01	  8.95209E+01	     0.038088%
   5	  -5	  6.25000E-03	 -6.25000E-03	  8.83883E-03	 -7.46758E+01	  7.46229E+01	 -7.47057E+01	  7.45966E+01	     0.037775%
   5	  -4	  6.25000E-03	 -5.00000E-03	  8.00391E-03	 -7.46758E+01	  5.96983E+01	 -7.46995E+01	  5.96717E+01	     0.037365%
   5	  -3	  6.25000E-03	 -3.75000E-03	  7.28869E-03	 -7.46758E+01	  4.47738E+01	 -7.46929E+01	  4.47466E+01	     0.036891%
   5	  -2	  6.25000E-03	 -2.50000E-03	  6.73146E-03	 -7.46758E+01	  2.98492E+01	 -7.46857E+01	  2.98216E+01	    -0.036471%
   5	  -1	  6.25000E-03	 -1.25000E-03	  6.37377E-03	 -7.46758E+01	  1.49246E+01	 -7.46780E+01	  1.48970E+01	    -0.036332%
   5	   0	  6.25000E-03	  0.00000E+00	  6.25000E-03	 -7.46758E+01	  9.49124E-10	 -7.46698E+01	 -2.67900E-02	    -0.036766%
   5	   1	  6.25000E-03	  1.25000E-03	  6.37377E-03	 -7.46758E+01	 -1.49246E+01	 -7.46610E+01	 -1.49495E+01	    -0.038015%
   5	   2	  6.25000E-03	  2.50000E-03	  6.73146E-03	 -7.46758E+01	 -2.98492E+01	 -7.46517E+01	 -2.98707E+01	    -0.040180%
   5	   3	  6.25000E-03	  3.75000E-03	  7.28869E-03	 -7.46758E+01	 -4.47738E+01	 -7.46419E+01	 -4.47902E+01	    -0.043272%
   5	   4	  6.25000E-03	  5.00000E-03	  8.00391E-03	 -7.46758E+01	 -5.96983E+01	 -7.46315E+01	 -5.97075E+01	    -0.047300%
   5	   5	  6.25000E-03	  6.25000E-03	  8.83883E-03	 -7.46758E+01	 -7.46229E+01	 -7.46206E+01	 -7.46224E+01	    -0.052296%
   5	   6	  6.25000E-03	  7.50000E-03	  9.76281E-03	 -7.46758E+01	 -8.95475E+01	 -7.46091E+01	 -8.95343E+01	    -0.058296%
   6	  -6	  7.50000E-03	 -7.50000E-03	  1.06066E-02	 -8.96109E+01	  8.95475E+01	 -8.96505E+01	  8.95058E+01	    -0.045366%
   6	  -5	  7.50000E-03	 -6.25000E-03	  9.76281E-03	 -8.96109E+01	  7.46229E+01	 -8.96437E+01	  7.45820E+01	    -0.044956%
   6	  -4	  7.50000E-03	 -5.00000E-03	  9.01388E-03	 -8.96109E+01	  5.96983E+01	 -8.96363E+01	  5.96577E+01	    -0.044526%
   6	  -3	  7.50000E-03	 -3.75000E-03	  8.38525E-03	 -8.96109E+01	  4.47738E+01	 -8.96283E+01	  4.47331E+01	    -0.044124%
   6	  -2	  7.50000E-03	 -2.50000E-03	  7.90569E-03	 -8.96109E+01	  2.98492E+01	 -8.96197E+01	  2.98087E+01	    -0.043868%
   6	  -1	  7.50000E-03	 -1.25000E-03	  7.60345E-03	 -8.96109E+01	  1.49246E+01	 -8.96104E+01	  1.48847E+01	    -0.043944%
   6	   0	  7.50000E-03	  0.00000E+00	  7.50000E-03	 -8.96109E+01	  1.13895E-09	 -8.96005E+01	 -3.85675E-02	    -0.044571%
   6	   1	  7.50000E-03	  1.25000E-03	  7.60345E-03	 -8.96109E+01	 -1.49246E+01	 -8.95900E+01	 -1.49607E+01	    -0.045928%
   6	   2	  7.50000E-03	  2.50000E-03	  7.90569E-03	 -8.96109E+01	 -2.98492E+01	 -8.95788E+01	 -2.98814E+01	    -0.048117%
   6	   3	  7.50000E-03	  3.75000E-03	  8.38525E-03	 -8.96109E+01	 -4.47738E+01	 -8.95670E+01	 -4.48003E+01	    -0.051175%
   6	   4	  7.50000E-03	  5.00000E-03	  9.01388E-03	 -8.96109E+01	 -5.96983E+01	 -8.95546E+01	 -5.97170E+01	    -0.055124%
   6	   5	  7.50000E-03	  6.25000E-03	  9.76281E-03	 -8.96109E+01	 -7.46229E+01	 -8.95415E+01	 -7.46313E+01	    -0.059996%
